,id,breed
4,0021f9ceb3235effd7fcde7f7538ed62,golden_retriever
25,00a366d4b4a9bbb6c8a63126697b7656,golden_retriever
37,0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever
65,019ff93e03802e661577b5869e099dcb,rhodesian_ridgeback
70,01b36cb1b80ab8c3a7d2b7128ad21bdc,samoyed
84,0206c12e8984e3c8a166cc272de25d6f,chihuahua
92,023e4e28415506e0deddcbd8f8bdab29,pug
97,02508e76981e1ba059d785704b4c480c,pug
100,025d903b457b865fd29424916e42fbc2,rhodesian_ridgeback
109,029ed6af5dcadfd105db9271e12ede14,rhodesian_ridgeback
118,02d54f0dfb40038765e838459ae8c956,bernese_mountain_dog
127,02ff77af410e966b7b661f6f0789d947,golden_retriever
128,0310a425f26d797634aadeb66bd63ef1,rhodesian_ridgeback
147,037ac6cbd9c96d70e68917aa059b6aab,old_english_sheepdog
165,03e1d2ee5fd90aef036c90a9e7f81177,bernese_mountain_dog
174,041b3b8a40b587a486276ac15edd9eaf,samoyed
211,04dea47b883acca9bd57c7ea2930524f,old_english_sheepdog
219,04fb4d719e9fe2b6ffe32d9ae7be8a22,bernese_mountain_dog
223,05134ea3341a1f4f460168e68ec5765d,bernese_mountain_dog
224,0518691772e78ac6805bf006993665a4,rhodesian_ridgeback
265,06448bf4366760660b6a7611d93d7533,bernese_mountain_dog
283,06ce71ab05143b1fe45ba8eeba2e97e4,pug
288,06fe22a92fa8dc8f90e7a0f118acad6f,bernese_mountain_dog
306,0769e276e8b9b992a3fcd6a10deee6a7,bernese_mountain_dog
310,0779e164a5bed1119e36e622107c6a77,pomeranian
323,07d6e906eb95f24c53eb92ecc2d47783,pug
331,07f95d08b40f1402abdab79b1f834e4c,old_english_sheepdog
333,08098e0a4074f62169ab53f7efe40da2,pomeranian
342,0825e8471e3c9a14dc341bdd8630f05e,golden_retriever
351,08644ddaf5a3ca7f08fcab7561ec4eea,bernese_mountain_dog
365,089fd270df9e42e3f741452a4e437dc5,chihuahua
379,093a146e173a3fd9ea650b87f08d6222,samoyed
408,09c986f317783fb5ae091b334e79ac5a,pomeranian
432,0a6706f7864eb8871913f0e4ba07a61e,samoyed
437,0a77d498ff491945347bb895d8ae4008,samoyed
449,0aa31d6ecdb95ac7d3b7fa42b86bd91b,old_english_sheepdog
451,0ab8d4c80ae4e6bbeacd66fb7e52b851,pomeranian
486,0ba0f44a7f83539a71e4d74f549c8be6,bernese_mountain_dog
509,0c36c19e7c4e932b8e0c01aa845b2fce,bernese_mountain_dog
513,0c64a816fcd8aa13dbd4e874307bad51,old_english_sheepdog
524,0cbca2fcad7910a3c98d734e17cfde65,samoyed
537,0d30e235aebdde78be6e2a59becb582d,golden_retriever
563,0ddbc4702eff570783cd03645571e7f7,samoyed
578,0e403e86dc961d59fec94dfb62968a53,pug
581,0e549376cfed70cf2a5b84e7a42d85ef,old_english_sheepdog
632,0f7db98cbd6f6537c0ac3dfad349b182,chihuahua
635,0f91c68e2088b8d45950cdde991f37d1,chihuahua
638,0f9d92617b85252200cf99ef0f84d59d,pug
